"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","GetById_WhenServiceThrowsException_ShouldReturnInternalServerError","Vault Data Management","2026-07-21","passed","2026-07-21","Collections Controller","Categories & Collections","CollectionsControllerTests","GetById_WhenServiceThrowsException_ShouldReturnInternalServerError"
"","1","GenerateRefreshToken_VariesPerCall","Accounts & API Access","2026-07-21","passed","2026-07-21","Refresh Token Generation","API Tokens","JwtServiceTests","GenerateRefreshToken_VariesPerCall"
"","1","Analyze_DetectsOldPasswords","Cryptography & Security","2026-07-21","passed","2026-07-21","","Security Auditing","SecurityAuditServiceTests","Analyze_DetectsOldPasswords"
"","1","DecryptAes256Gcm_NullEncryptedData_Throws","Cryptography & Security","2026-07-21","passed","2026-07-21","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","DecryptAes256Gcm_NullEncryptedData_Throws"
"","224","MasterKeyIdentifier_VerifiesCorrectly","Cryptography & Security","2026-07-21","passed","2026-07-21","Happy-Path Round Trips","Encryption & Key Derivation","CryptographyTests","MasterKeyIdentifier_VerifiesCorrectly"
"","6","CreateUserAsync_WithValidData_ShouldCreateUserWithApplicationUserId","Accounts & API Access","2026-07-21","passed","2026-07-21","Service Layer","User Profiles","UserProfileServiceTests","CreateUserAsync_WithValidData_ShouldCreateUserWithApplicationUserId"
"","0","GenerateCode_OtpAuthUri_WithDigits8_ProducesFullCode","Cryptography & Security","2026-07-21","passed","2026-07-21","TOTP Service","Two-Factor Authentication","TotpServiceTests","GenerateCode_OtpAuthUri_WithDigits8_ProducesFullCode"
"","1","RevokeRefreshTokenAsync_UnknownUserOrToken_DoesNotThrow","Accounts & API Access","2026-07-21","passed","2026-07-21","Refresh Token Store","API Tokens","JwtServiceTests","RevokeRefreshTokenAsync_UnknownUserOrToken_DoesNotThrow"
"","198","Pbkdf2_IsDeterministic_AndSaltSensitive","Cryptography & Security","2026-07-21","passed","2026-07-21","Happy-Path Round Trips","Encryption & Key Derivation","CryptographyTests","Pbkdf2_IsDeterministic_AndSaltSensitive"
"","0","ValidateEmail_WithNullOrEmpty_ReturnsFalse","Cryptography & Security","2026-07-21","passed","2026-07-21","Email Validation","Input Validation","InputValidationHelperTests","ValidateEmail_WithNullOrEmpty_ReturnsFalse"
"","7232","ApiKeyManagementPage_LoadsSuccessfully","","2026-07-21","passed","2026-07-21","","VaultGuard.Tests.Playwright.UserManagementCrudTests","VaultGuard.Tests.Playwright.UserManagementCrudTests",""
"","3","Update_WithInvalidId_ShouldReturnNotFound","Vault Data Management","2026-07-21","passed","2026-07-21","Collections Controller","Categories & Collections","CollectionsControllerTests","Update_WithInvalidId_ShouldReturnNotFound"
